x

target,relative_error,results_mean,results_median
Requirement,1032.59002537033,-50.0608903594696,0
LikelySys,1271.70843766812,-50.5292067361647,0
Type.add,1032.59002537033,-50.0608903594696,0
Type.new,273.359347711286,-51.4633869120558,0
Type.re_develop,638.441681441071,-29.3404860905054,0
IsFormat,1032.59002537033,-50.0608903594696,0
MeetSchedule,2703.20558754121,-45.3640519569312,0
HearlingNum,2212.86936547623,-56.7824565884283,0
AddiJobTime,553.258728165353,-33.5476936568439,0
Num,1731.17818372857,-58.5916631492343,0
StakeHolder,1032.59002537033,-50.0608903594696,0
WorkPasona,5239.55538205359,-48.3515424589951,0
Importance,1032.59002537033,-50.0608903594696,0
IdentifyProb,1032.59002537033,-50.0608903594696,0
NewTech,1032.59002537033,-50.0608903594696,0
Workspace,1849.07958044046,-55.4241504701503,0
SimilarProject,1032.59002537033,-50.0608903594696,0
PMTool,1032.59002537033,-50.0608903594696,0
CMTool,1032.59002537033,-50.0608903594696,0
DSTool,1032.59002537033,-50.0608903594696,0
DTTool,1032.59002537033,-50.0608903594696,0
CASETool,319.604726627901,-62.1579236399494,0
CodeGenerator,1032.59002537033,-50.0608903594696,0
DevMethodology,1032.59002537033,-50.0608903594696,0
User.Participation,1032.59002537033,-50.0608903594696,0
User.Agreement,1032.59002537033,-50.0608903594696,0
Mandatory.Control,1032.59002537033,-50.0608903594696,0
CycloCompSum,235.525553201079,-59.5551521081577,0
CycloCompAve,1032.59002537033,-50.0608903594696,0
Reliability,1032.59002537033,-50.0608903594696,0
UC,1066.64214305063,-56.728412010042,0
Architecture.3tier,240.645963278004,-40.4430450342984,0
Architecture.MVC,528.351121715519,-70.2930806180777,0
Architecture.VC,1032.59002537033,-50.0608903594696,0
Language.Java,1032.59002537033,-50.0608903594696,0
Language.JavaScript,1032.59002537033,-50.0608903594696,0
Language.JavaSript,1032.59002537033,-50.0608903594696,0
Language.PHP,600.192137540886,-57.619278055836,0
Language.Ruby,1032.59002537033,-50.0608903594696,0
Language.Swift,1032.59002537033,-50.0608903594696,0
BusExp,1032.59002537033,-50.0608903594696,0
DesignExp,1032.59002537033,-50.0608903594696,0
LangExp,1032.59002537033,-50.0608903594696,0
PlatformExp,600.221287594732,-60.7729829954261,0
PMExp,1032.59002537033,-50.0608903594696,0
Grade,2201.76669495651,-59.369004481453,0
ProExp,15446.2089866245,-60.7241872730886,0
PBLExp,1066.64214305063,-56.728412010042,0
Purpose,1032.59002537033,-50.0608903594696,0
ConcuTask,1032.59002537033,-50.0608903594696,0
ConcuProj,1032.59002537033,-50.0608903594696,0
